"// This is a spec file to parse zoning, generated by the autogeneration tool",,,,,,,,,,,,,,,,,,,,,,,,,,
"// Any line with a first cell starting with // will be ignored, as will any cell starting with #, and any blank row",,,,,,,,,,,,,,,,,,,,,,,,,,
// Generated: 2018-02-21 10:43:14 MST,,,,,,,,,,,,,,,,,,,,,,,,,,
jurisdiction,Oakland,# Jurisdiction represented by this zoning,,,,,,,,,,,,,,,,,,,,,,,,
data,https://data.oaklandnet.com/dataset/Zoning/q8sz-29u5,"# URL for the data (not a direct download link, but the page describing the data)",,,,,,,,,,,,,,,,,,,,,,,,
year,2017,"# The shapefile is from 2012, but the ordinance is from 2017 - so I'm guessing the zone boundaries just haven't changed",,,,,,,,,,,,,,,,,,,,,,,,
code,https://library.municode.com/ca/oakland/codes/planning_code?nodeId=16490,# URL of the zoning code used to fill out this file,,,,,,,,,,,,,,,,,,,,,,,,
column,znlabel,# Columns specifying unique zones,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
// Each table below contains one component of the zone designator,,,,,,,,,,,,,,,,,,,,,,,,,,
"// They will be applied in order, so information from later tables will override information from previous tables",,,,,,,,,,,,,,,,,,,,,,,,,,
"// These are the canonical forms of variables. Anything ending in meters can also be expressed in feet, hectares can",,,,,,,,,,,,,,,,,,,,,,,,,,
"// also be expressed in acres or square feet, and minLotSizePerUnit{Hectares|Acres|SqFt} will be",,,,,,,,,,,,,,,,,,,,,,,,,,
"// converted to maxUnitsPerHectare, by simply changing the variable names",,,,,,,,,,,,,,,,,,,,,,,,,,
znlabel,singleFamily,multiFamily,maxHeightFeet,maxHeightStories,minLotSizePerUnitSqFeet,minUnitsPerLot,maxUnitsPerLot,minLotSizeSqFeet,minLotWidthFeet,maxLotWidthFeet,minLotDepthFeet,minFloorAreaPerUnitSqFeet,minParkingPerUnit,maxParkingPerUnit,maxUnitsPerHectare,maxLotCoverage,maxFar,setbackFrontFeet,setbackFrontPercent,setbackSideFeet,setbackSidePercent,setbackRearFeet,setbackRearPercent,demoControls,note,
M-40,0,0,,,,,,,,,,,,,,,,,,,,,,,,
M-40/S-4,0,0,,,,,,,,,,,,,,,,,,,,,,,,
OS (RSP),0,0,# Many OS zones allow conditional residetianl use for caretaker quarters. I'm assuming that's not going to contribute much to the supply of housing in CA,,,,,,,,,,,,,,,,,,,,,,,
OS (CP),0,0,,,,,,,,,,,,,,,,,,,,,,,,
OS (NP),0,0,,,,,,,,,,,,,,,,,,,,,,,,
OS (AMP),0,0,,,,,,,,,,,,,,,,,,,,,,,,
OS (PMP),0,0,,,,,,,,,,,,,,,,,,,,,,,,
OS (LP),0,0,,,,,,,,,,,,,,,,,,,,,,,,
OS (SU),0,0,,,,,,,,,,,,,,,,,,,,,,,,
OS (RCA),0,0,,,,,,,,,,,,,,,,,,,,,,,,
OS (RCA)/S-10,0,0,,,,,,,,,,,,,,,,,,,,,,,,
OS (AF),0,0,,,,,,,,,,,,,,,,,,,,,,,,
RD-1,1,0,,,,,1,5000,45,,,,2,inf,,,,5-20,,3-5,,15-20,,,"FAR, height, and lot coverage depends on lot size and slope",
RD-1/S-20,1,0,,,,,1,5000,45,,,,2,inf,,,,5-20,,3-5,,15-20,,,"FAR, height, and lot coverage depends on lot size and slope",
RD-2,1,0,,,,,1,5000,45,,,,1.5-2,inf,,,,5-20,,3-5,,15,,,"Duplexes conditionally permitted, FAR, height, and lot coverage depends on lot size and slope",# only 3 spaces per duplex
RH-1,1,0,30-40,,,,1,43560,100,,,,2,inf,,15-40,0.2-0.55,5-25,,6,15,35,,,,
RH-1/S-10,1,0,30-40,,,,1,43560,100,,,,2,inf,,15-40,0.2-0.55,5-25,,6,15,35,,,,
RH-2,1,0,30-40,,,,1,25000,100,,,,2,inf,,15-40,0.2-0.55,5-25,,6,15,35,,,,
RH-3,1,0,30-40,,,,1,12000,90,,,,2,inf,,15-40,0.2-0.55,5-20,,6,10,25,,,,
RH-3/S-10,1,0,30-40,,,,1,12000,90,,,,2,inf,,15-40,0.2-0.55,5-20,,6,10,25,,,,
RH-3/S-10/S-11,1,0,30-40,,,,1,12000,90,,,,2,inf,,15-40,0.2-0.55,5-20,,6,10,25,,,May have lower density requirements depending on North Oakland Hill Specific Plan or lot geometry,
RH-3/S-11,1,0,30-40,,,,1,12000,90,,,,2,inf,,15-40,0.2-0.55,5-20,,6,10,25,,,May have lower density requirements depending on North Oakland Hill Specific Plan or lot geometry,
RH-4,1,0,30-40,,,,1,6500-8000,45,,,,2,inf,,15-40,0.2-0.55,5-20,,5,,20,,,Some areas have minimum 10% side setback,
RH-4/S-10,1,0,30-40,,,,1,6500-8000,45,,,,2,inf,,15-40,0.2-0.55,5-20,,5,,20,,,,
RH-4/S-10/S-11,1,0,30-40,,,,1,6500-8000,45,,,,2,inf,,15-40,0.2-0.55,5-20,,5,,20,,,May have lower density requirements depending on North Oakland Hill Specific Plan or lot geometry,
RH-4/S-11,1,0,30-40,,,,1,6500-8000,45,,,,2,inf,,15-40,0.2-0.55,5-20,,5,,20,,,May have lower density requirements depending on North Oakland Hill Specific Plan or lot geometry,
RM-1,1,0,30-40,,,,1,5000,45,,,,1,inf,,15-40,0.20-inf,5-20,,3-5,,15,,,,
RM-2,1,c,30-40,,,,1-2,2500-5000,25-45,,,,1-1.5,inf,,15-40,0.20-inf,5-20,,3-5,,15,,,,
RM-2/S-20,1,c,30-40,,,,1-2,2500-5000,25-45,,,,1-1.5,inf,,15-40,0.20-inf,5-20,,3-5,,15,,,,
RM-3,1,c,30-40,,,,1-2,4000,25,,,,1,inf,,15-50,0.20-inf,5-15,,3-4,,15,,,,
RM-4,1,1,35-40,,1100,,1-4,4000,25,,,,1,inf,,15-100,0.20-inf,5-15,,3-4,,15,,,,
RU-1,1,1,40,,1100,,,4000,25,,,,1,inf,,100,inf,5-15,,3-4,,15,,,,
RU-2,1,1,50,,800,,,4000,25,,,,1,inf,,100,inf,5-10,,3-4,,15,,,,
RU-2/S-12,1,1,50,,800,,,4000,25,,,,1.33-1.53,inf,,100,inf,5-10,,3-4,,15,,,,"# 1 space per three habitable rooms. If more than 5 spaces are needed for a complex, an additional 0.2 spaces per dwelling unit"
RU-3,1,1,60,,450,,,4000,25,,,,1,inf,,100,inf,5-10,,0,,15,,,,
RU-4,0,1,35-120,3-11,225-550,,,4000,25,,,,1,inf,,100,inf,5,,0,,10-15,,,"Density and height depends on height areas, which we don't have data on",
RU-5,0,1,35-120,3-11,225-550,,,4000,25,,,,1,inf,,100,inf,0-5,,0,,10-15,,,,
R-80,1,1,inf,,300,,,4000,25,,,,1,inf,,100,3.5,10,,0,,10,,,,
S-1,1,1,inf,,300,,,4000,25,,,,1,inf,,100,4,10,,0,,10,,,,
S-15,c,1,35-160,3-15,225-550,,,4000,25,,,,1,1.25,,,inf,0,,0,,10,,,,
S-15W,0,1,35-160,3-15,225-550,,,4000,25,,,,1,1.25,,,inf,0,,0,,10,,,,
S-2,1,1,inf,,300,,,4000,25,,,,0,inf,,,3.5,10,,0,,10,,,,
